trade_date,date_str,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma20,ma60,dif,dea,macd,kdj_k,kdj_d,kdj_j,rsi6,rsi12,rsi24,boll_upper,boll_mid,boll_lower
20251205,2025-12-05,1423.98,1433.09,1419.5,1430.01,1423.98,6.03,0.4235,25401.66,3622681.597,1433.42,1441.07,1453.79,1457.58,-5.6155,-2.0026,-7.2258,16.28,16.98,14.87,25.82,20.06,48.63,1483.84,1453.79,1423.75
20251208,2025-12-08,1429.2,1436.67,1418.0,1418.22,1430.01,-11.79,-0.8245,33602.8,4789155.77,1427.47,1437.69,1451.59,1456.5,-7.0704,-3.0162,-8.1084,11.02,14.99,3.07,13.6,17.98,47.13,1485.08,1451.59,1418.1
20251209,2025-12-09,1418.23,1421.0,1400.05,1401.01,1418.22,-17.21,-1.2135,42634.43,5995722.121,1420.46,1433.33,1448.69,1454.83,-9.5025,-4.3135,-10.378,7.86,12.62,-1.65,10.21,14.76,45.14,1488.55,1448.69,1408.83
20251210,2025-12-10,1400.0,1402.8,1383.18,1402.8,1401.01,1.79,0.1278,33133.47,4625906.139,1415.2,1428.7,1445.57,1453.12,-11.1569,-5.6822,-10.9494,13.51,12.91,14.7,16.0,19.34,41.16,1489.36,1445.57,1401.79
20251211,2025-12-11,1406.66,1411.99,1401.55,1411.99,1402.8,9.19,0.6551,22385.01,3149974.074,1412.81,1425.16,1442.65,1451.29,-11.5929,-6.8643,-9.4572,21.15,15.66,32.13,33.27,30.1,44.39,1487.21,1442.65,1398.1
20251212,2025-12-12,1418.0,1425.0,1413.57,1420.65,1411.99,8.66,0.6133,37159.19,5273563.274,1410.93,1422.18,1440.86,1449.58,-11.1115,-7.7137,-6.7956,32.27,21.2,54.42,46.95,33.48,37.75,1485.92,1440.86,1395.8
20251215,2025-12-15,1439.59,1439.99,1425.57,1426.0,1420.65,5.35,0.3766,33358.79,4774362.06,1412.49,1419.98,1438.61,1448.08,-10.181,-8.2072,-3.9476,46.64,29.68,80.56,46.29,38.13,40.41,1481.88,1438.61,1395.33
20251216,2025-12-16,1426.2,1428.78,1415.0,1422.0,1426.0,-4.0,-0.2805,23963.67,3403139.194,1416.69,1418.58,1435.91,1446.52,-9.655,-8.4968,-2.3164,53.87,37.74,86.13,54.09,34.26,37.3,1476.14,1435.91,1395.67
20251217,2025-12-17,1425.0,1439.94,1417.68,1433.1,1422.0,11.1,0.7806,31382.49,4489482.138,1422.75,1418.98,1434.01,1445.41,-8.2474,-8.4469,0.399,65.2,46.89,101.82,90.02,42.49,39.39,1470.88,1434.01,1397.14
20251218,2025-12-18,1433.5,1438.88,1426.11,1431.0,1433.1,-2.1,-0.1465,17829.95,2551177.659,1426.55,1419.68,1432.2,1444.38,-7.2181,-8.2011,1.966,71.53,55.11,104.37,84.9,47.18,42.2,1465.81,1432.2,1398.6
20251219,2025-12-19,1410.0,1412.45,1401.01,1410.0,1407.04,2.96,0.2104,26508.68,3733028.357,1424.42,1417.68,1429.37,1443.41,-8.0046,-8.1618,0.3144,63.42,57.88,74.51,48.09,40.76,32.13,1460.35,1429.37,1398.4
20251222,2025-12-22,1410.0,1414.14,1406.58,1408.26,1410.0,-1.74,-0.1234,20425.65,2881636.856,1420.87,1416.68,1427.19,1442.41,-8.6684,-8.2631,-0.8106,57.0,57.58,55.82,36.32,42.14,29.76,1457.63,1427.19,1396.74
20251223,2025-12-23,1408.26,1412.93,1397.19,1407.86,1408.26,-0.4,-0.0284,24506.81,3445377.032,1418.04,1417.37,1425.35,1441.66,-9.1216,-8.4348,-1.3736,46.31,53.83,31.27,27.52,38.26,30.6,1455.79,1425.35,1394.9
20251224,2025-12-24,1404.99,1406.36,1400.0,1400.9,1407.86,-6.96,-0.4944,25186.69,3533253.565,1411.6,1417.18,1422.94,1440.88,-9.928,-8.7334,-2.3892,33.76,47.14,7.01,25.64,40.32,30.04,1453.1,1422.94,1392.77
20251225,2025-12-25,1405.0,1419.48,1401.38,1414.17,1400.9,13.27,0.9472,23386.21,3299572.096,1408.24,1417.39,1421.28,1440.42,-9.388,-8.8643,-1.0474,35.73,43.34,20.52,29.18,57.69,35.32,1449.49,1421.28,1393.07
20251226,2025-12-26,1414.17,1419.14,1410.0,1414.13,1414.17,-0.04,-0.0028,17802.99,2520605.635,1409.06,1416.74,1419.46,1440.0,-8.8611,-8.8637,0.0052,37.03,41.23,28.62,30.57,56.76,38.46,1444.4,1419.46,1394.52
20251229,2025-12-29,1414.13,1414.13,1401.0,1402.0,1414.13,-12.13,-0.8578,26308.1,3694660.107,1407.81,1414.34,1417.16,1439.45,-9.315,-8.954,-0.722,28.44,36.97,11.37,38.42,44.24,37.37,1439.49,1417.16,1394.83
20251230,2025-12-30,1401.0,1401.9,1386.0,1389.72,1402.0,-12.28,-0.8759,33791.94,4702489.813,1404.18,1411.11,1414.85,1438.27,-10.5441,-9.272,-2.5442,21.3,31.75,0.42,29.44,32.89,33.17,1438.44,1414.85,1391.25
20251231,2025-12-31,1390.0,1394.0,1377.17,1377.18,1389.72,-12.54,-0.9023,34765.63,4799456.452,1399.44,1405.52,1412.25,1437.15,-12.3872,-9.895,-4.9844,14.21,25.9,-9.17,23.19,24.98,31.28,1440.05,1412.25,1384.45
20260105,2026-01-05,1385.0,1431.88,1385.0,1426.0,1377.18,48.82,3.5449,70949.42,10018086.372,1401.81,1405.02,1412.35,1436.97,-9.7956,-9.8751,0.159,39.22,30.34,56.99,62.67,51.4,44.74,1440.33,1412.35,1384.37
20260106,2026-01-06,1432.55,1436.97,1416.53,1428.01,1426.0,2.01,0.141,39586.18,5649710.153,1404.58,1406.82,1412.25,1436.94,-7.4932,-9.3987,3.811,54.49,38.39,86.68,57.88,48.09,45.7,1439.99,1412.25,1384.51
20260107,2026-01-07,1432.88,1435.0,1420.2,1423.36,1428.01,-4.65,-0.3256,29683.8,4234255.286,1408.85,1408.33,1412.51,1437.01,-5.9748,-8.7139,5.4782,62.07,46.28,93.65,54.99,47.19,47.19,1440.56,1412.51,1384.45
20260108,2026-01-08,1423.33,1423.36,1408.14,1412.3,1423.36,-11.06,-0.777,29134.54,4117925.041,1413.37,1408.78,1413.07,1436.37,-5.5994,-8.091,4.9832,60.96,51.18,80.54,55.64,50.91,46.34,1440.63,1413.07,1385.52
20260109,2026-01-09,1417.0,1428.6,1416.01,1419.1,1412.3,6.8,0.4815,29847.74,4243865.418,1421.75,1410.6,1413.89,1435.65,-4.699,-7.4126,5.4272,64.01,55.46,81.13,67.11,54.14,48.94,1441.14,1413.89,1386.63
